Country,Decade,Total affected per 100k,GDP_pc,VulnerabilityScore
Comoros,1990,4.5219607,2850.9466199999997,1.586126049599624
Canada,2010,86.07946896,54514.0785,1.5790319001723563
Bulgaria,2020,45.84799068,30484.009,1.5040013496912432
Georgia,1990,8.7390088,5976.6972399999995,1.462180272661762
Malaysia,1990,22.1617544,15557.498300000001,1.4245063038187828
Serbia,2000,20.77013906,14805.99,1.4028200113602673
United Kingdom,2000,66.85516645320001,48362.8387,1.3823664666979116
Japan,2020,60.1001469,44780.001000000004,1.3421202670361707
Austria,2000,76.35606336,57500.7571,1.3279140521090633
Gabon,2020,24.62478,18642.451,1.320898201636684
Croatia,2010,39.93200638,30397.159600000003,1.3136755836884177
United Kingdom,1990,45.72661806,38180.2883,1.197649889406414
Canada,2020,65.991885,55462.036250000005,1.189856872591835
Montenegro,2000,20.116405,16964.522,1.1857926206232041
Bulgaria,2000,17.983760666000002,17346.9239,1.0367117979920346
Puerto Rico,2000,40.455516,40868.7444,0.9898888892705987
Australia,2000,47.03069074,48287.688,0.9739685764205567
Bhutan,2020,12.913183,13500.020666666665,0.9565306097556099
Poland,2010,28.0577176,32303.139199999998,0.8685755717512433
Slovakia,2000,19.9870437,23412.942300000002,0.8536750077755071
Cayman Islands,2000,70.62147,88600.6825,0.7970759141725574
Germany,2000,40.805103032,52341.8963,0.77958778562633
Puerto Rico,2020,31.96019,41572.1625,0.7687882486267104
Trinidad and Tobago,1990,11.141828,14519.9932,0.7673438855329492
Cyprus,1990,22.718514,31082.3154,0.7309144672021441
Bosnia and Herzegovina,1990,2.624605,4029.73211,0.6513100445279971
Canada,1990,26.2016665,41066.4337,0.6380312128247942
Germany,1990,29.20098771,45794.4292,0.6376537107268935
Greece,2000,21.98076815,37446.4705,0.5869917206215737
Bulgaria,1990,7.481959549999999,13410.809899999998,0.557905123239425
Mauritius,2000,8.509093,15368.52995,0.5536699364014318
Romania,2010,15.252178,29949.8231,0.5092576990880457
New Zealand,2000,18.65927645,39886.1925,0.4678129267415034
Spain,2020,19.1290222,44771.12975,0.4272624413727242
Italy,2000,22.1297608,52114.547999999995,0.42463691328571057
Switzerland,2020,34.23636,81297.845,0.42112260171225935
Sweden,2020,25.795122,62449.05675,0.4130586327871157
Italy,2020,20.82601425,50697.76575,0.41078761444235834
Jordan,2020,3.5282521,9208.57475,0.3831485540148327
Oman,2010,15.3777219,41042.236099999995,0.37468041123617046
Hong Kong,1990,13.5654565,36304.466100000005,0.37365806351852665
Hong Kong,2010,21.64074,62105.914000000004,0.34844894159354933
Egypt,2020,4.937872,15984.944,0.30890768212888325
United Kingdom,2010,13.978479,51402.7644,0.27194021884161546
New Zealand,1990,8.694310569999999,32004.395299999996,0.27165989197739976
Egypt,2010,3.6905373587,13616.903,0.2710261913960905
Ireland,1990,9.871112,36540.729999999996,0.27013997804641565
Italy,2010,13.12588837,48916.6629,0.26833163981020464
Italy,1990,12.114189273,45718.5201,0.2649733466110159
Portugal,2010,9.5201852,36902.001800000005,0.2579856033717932
Poland,2000,5.43341928,22179.6868,0.2449727685063614
Gabon,2000,4.8380785,20138.3405,0.24024216394593192
Slovenia,2000,8.2196741,35489.392799999994,0.2316093190526495
Croatia,1990,4.2028956,18856.634,0.2228868418403836
France,2000,10.402317994,49218.6961,0.21134891450324303
Cyprus,2020,9.7901755,50369.414749999996,0.19436746582408923
Saudi Arabia,2000,9.356898,49306.7954,0.18976893395915156
Turkmenistan,1990,1.0417439,5502.32745,0.1893278634298655
Croatia,2000,5.044902974,26748.824800000002,0.1886027895326452
Luxembourg,2010,24.500751,132659.2364,0.18468937154231954
Czechia,2020,7.2744493,49372.72825,0.14733739774649784
Trinidad and Tobago,2000,4.1140776,28349.701399999998,0.14511890414478934
Portugal,1990,4.3610111499999995,30085.3869,0.14495446458759018
Slovenia,1990,3.5206184,25235.4305,0.13951093087157757
Norway,1990,9.175728,66353.8839,0.13828471614153695
Iceland,2000,7.0700502,54139.3722,0.1305898076150946
Hong Kong,2000,5.917277,46682.8009,0.12675496940887282
Spain,2010,5.25777788,43197.217599999996,0.12171566068644199
Canada,2000,5.985123659999999,50504.295999999995,0.11850721887104415
Belarus,2000,1.843094,16318.766,0.11294322131955321
Cyprus,2000,4.6164094,41385.8459,0.11154560936496408
Switzerland,2000,7.525031828,70843.43710000001,0.10622059199891642
United States,2020,6.03062755375,71522.53125,0.08431787086324632
Portugal,2020,3.1647909,39738.1805,0.07964106207630718
Israel,1990,2.1417786000000003,28532.421000000002,0.07506473425441186
Latvia,2020,2.1855369,35493.3825,0.06157589798605416
Norway,2000,4.86862877,82668.4144,0.05889345774121924
Belgium,1990,2.5464773000000003,45263.3941,0.05625908862190254
Poland,2020,2.01681465,42110.512,0.04789337754905473
Slovakia,2010,1.575116,33105.404200000004,0.0475788179622951
Spain,2000,1.9731154561,42736.6283,0.04616918869334388
Belgium,2000,2.5191478824,54762.8118,0.046001068966294384
Qatar,2010,5.4215374,126919.58840000001,0.04271631722373282
Oman,2020,1.64457222,38739.483,0.042452095191874394
Iraq,1990,0.2801688,7266.478939999999,0.03855633551179053
Albania,2020,0.5885011,16705.044,0.035228946418818165
Romania,2020,1.2977929,38568.26225,0.03364924485287123
Belarus,2020,0.8843746,27149.6265,0.032574098210890676
Ireland,2010,1.9489617,74266.3743,0.02624285510596146
Estonia,2000,0.7381899,28991.2483,0.02546250828392236
Slovakia,2020,0.9163079,38181.6765,0.02399862929015178
Egypt,2000,0.2538096294999999,10975.8778,0.023124312617620425
Saudi Arabia,2010,1.19999326,53397.43519999999,0.02247286326591207
Macao,2010,3.131792,143775.61299999998,0.0217824979817683
Kuwait,1990,1.1354134,53745.0944,0.02112589832942967
Ireland,2000,1.26640189,60146.59299999999,0.02105525561522662
Israel,2000,0.6702681,33819.3729,0.019819057614755477
Hong Kong,2020,1.01428366,63929.462250000004,0.01586566857130102
Finland,2000,0.76247555,52464.8034,0.01453308695711228
Germany,2010,0.8547555746,60021.20159999999,0.014240894081000871
Belgium,2010,0.699117,58795.565500000004,0.011890641650516991
Norway,2010,1.009374,85524.0341,0.011802226246949219
United Arab Emirates,2020,0.72144496,67657.79375,0.01066314640210981
Austria,2010,0.6109685,62425.18639999999,0.009787211464377783
Germany,2020,0.393013,62657.35,0.006272416564058326
Jordan,2010,0.061186265,10080.8864,0.006069532238752338
Saudi Arabia,2020,0.3333601,54989.51975,0.0060622478886079014
Switzerland,2010,0.36307575,77278.871,0.004698253808599249
United Arab Emirates,2010,0.20731567,69526.065,0.0029818409829464676
United Kingdom,2020,0.14315651,52718.955,0.0027154656233227686
Israel,2020,0.047958963,46486.489499999996,0.0010316752999815141
Austria,2020,0.02908402,63954.50875,0.000454761057014608
Denmark,2020,0.010200163,69774.04375,0.0001461885029416831
Netherlands,2020,0.0045709857,69611.3175,6.566440435493841e-05
Netherlands,2000,0.0006149368,59598.205,1.0318042296743668e-05
Libya,1990,0.0,18392.195,0.0
Tuvalu,2000,0.0,3734.4061699999997,0.0
Finland,1990,0.0,38705.2091,0.0
Turkmenistan,2000,0.0,6173.70718,0.0
Lithuania,2000,0.0,23208.2803,0.0
Libya,2000,0.0,19576.577400000002,0.0
Turks and Caicos Islands,2020,0.0,21380.3645,0.0
Turks and Caicos Islands,2010,0.0,27245.542999999998,0.0
Lithuania,2010,0.0,35363.4003,0.0
Botswana,2020,0.0,17936.2905,0.0
Lithuania,2020,0.0,46107.4595,0.0
Turkmenistan,2020,0.0,16802.824,0.0
Turkmenistan,2010,0.0,12434.1731,0.0
Liberia,2020,0.0,1558.127,0.0
Serbia,1990,0.0,10613.9984,0.0
Latvia,2010,0.0,28915.7737,0.0
Finland,2020,0.0,57094.736000000004,0.0
Guinea-Bissau,2020,0.0,2474.33205,0.0
Hungary,2020,0.0,38958.9675,0.0
Iceland,1990,0.0,40837.9773,0.0
Iceland,2010,0.0,60164.6598,0.0
Ireland,2020,0.0,115144.749,0.0
Uzbekistan,2010,0.0,7276.0387900000005,0.0
Gabon,1990,0.0,24176.4526,0.0
Jamaica,2020,0.0,9779.711375,0.0
Finland,2010,0.0,54953.7675,0.0
Latvia,2000,0.0,21119.2196,0.0
Kiribati,2020,0.0,3055.9638999999997,0.0
Kuwait,2000,0.0,69890.72439999999,0.0
Kuwait,2010,0.0,58228.1467,0.0
Luxembourg,2000,0.0,126778.7175,0.0
Kuwait,2020,0.0,49314.020749999996,0.0
United Arab Emirates,2000,0.0,85686.6395,0.0
United Arab Emirates,1990,0.0,99390.1464,0.0
Latvia,1990,0.0,12070.0136,0.0
Luxembourg,1990,0.0,94141.301,0.0
Malta,1990,0.0,22371.5227,0.0
Luxembourg,2020,0.0,134635.6525,0.0
Qatar,2020,0.0,112698.43725,0.0
Austria,1990,0.0,47252.1903,0.0
Denmark,2000,0.0,60372.0875,0.0
Denmark,1990,0.0,50504.7403,0.0
Grenada,2020,0.0,15821.945,0.0
Norway,2020,0.0,89265.325,0.0
Oman,1990,0.0,38316.993,0.0
Palau,1990,0.0,16667.9399,0.0
Palau,2000,0.0,16871.6734,0.0
Cyprus,2010,0.0,41587.8863,0.0
Qatar,1990,0.0,76088.6606,0.0
Qatar,2000,0.0,103005.302,0.0
Saint Kitts and Nevis,2000,0.0,22208.6544,0.0
Netherlands,2010,0.0,64322.2632,0.0
Saint Kitts and Nevis,2020,0.0,28443.600749999998,0.0
Saint Lucia,2000,0.0,19632.096100000002,0.0
Sint Maarten (Dutch part),2020,0.0,42136.19275,0.0
Comoros,2020,0.0,3461.022775,0.0
Sint Maarten (Dutch part),2000,0.0,50980.94,0.0
Samoa,2020,0.0,6276.86025,0.0
Sao Tome and Principe,1990,0.0,3818.20464,0.0
Sao Tome and Principe,2000,0.0,4357.3008199999995,0.0
Sao Tome and Principe,2010,0.0,5247.0004,0.0
Seychelles,2020,0.0,29511.435250000002,0.0
Saudi Arabia,1990,0.0,57090.4395,0.0
Denmark,2010,0.0,62945.3488,0.0
Antigua and Barbuda,2020,0.0,26662.21075,0.0
Macao,2000,0.0,81715.3236,0.0
Estonia,2020,0.0,43531.7105,0.0
Macao,2020,0.0,74755.1715,0.0
Barbados,1990,0.0,16529.694,0.0
Bermuda,1990,0.0,80660.8284,0.0
Bermuda,2000,0.0,107800.13840000001,0.0
Bermuda,2010,0.0,96123.5284,0.0
Bahamas,2020,0.0,30077.967,0.0
Malta,2000,0.0,33804.459,0.0
Malta,2010,0.0,46014.1155,0.0
Malta,2020,0.0,57518.186499999996,0.0
Bermuda,2020,0.0,94067.44225,0.0
Cayman Islands,2010,0.0,74652.12950000001,0.0
Estonia,2010,0.0,37339.0769,0.0
Dominica,2020,0.0,16020.275,0.0
Azerbaijan,2020,0.0,20387.760000000002,0.0
Cayman Islands,2020,0.0,75192.1575,0.0
Estonia,1990,0.0,16933.7486,0.0
Switzerland,1990,0.0,63231.5719,0.0
Montenegro,1990,0.0,14927.371666666666,0.0
Sweden,2010,0.0,58569.2883,0.0
Sweden,2000,0.0,52499.907499999994,0.0
Sweden,1990,0.0,41130.09910000001,0.0
Montenegro,2020,0.0,25038.24525,0.0
Suriname,2010,0.0,23308.7952,0.0
Suriname,1990,0.0,16726.641,0.0
Grenada,2010,0.0,14875.030300000002,0.0
