Country,Decade,Total affected per 100k,GDP_pc,VulnerabilityScore
Kenya,1990,2649.66438,3931.01129,674.0414067851736
Fiji,1990,5431.394200000001,8733.70927,621.8885964817558
Guyana,2000,5404.306,8700.716199999999,621.1334648520084
Saint Lucia,2010,13270.4439,21726.6044,610.7923564899078
Ghana,1990,1833.0194,3032.3016900000002,604.4977008867478
Honduras,2010,3427.567506,5815.63416,589.3712382348343
Philippines,2020,5245.856589999999,9167.784,572.2055177128955
Pakistan,2020,3041.15209104,5366.938700000001,566.6455797305827
Benin,1990,1302.9529,2306.10492,565.0015698331713
India,2010,3549.499769532601,6398.11653,554.7726042327336
Vanuatu,1990,1695.02914,3196.9927199999997,530.1948701340802
Mongolia,2010,6954.490069500001,13299.48735,522.9141459727018
Guinea-Bissau,2000,1016.553322,1987.0894199999998,511.5790521394855
Papua New Guinea,1990,1932.637633,3787.87503,510.2168412879239
Palau,2020,8075.346,16274.38075,496.19989381162776
Azerbaijan,1990,3078.19107,6217.49133,495.0857036418256
Eswatini,1990,2683.5256,5701.13004,470.70064727027346
Bangladesh,2010,2478.7093817600003,5323.31775,465.6324304067703
Palau,2010,8659.131,18651.018799999998,464.2712064608503
Belize,2000,5651.8482,12308.5156,459.18195042138143
Namibia,2000,4126.3171,9066.38784,455.1225000319422
El Salvador,2000,3641.0345514,8062.616649999999,451.59465090033774
Pakistan,2010,2094.7784404500003,4680.8727,447.51878008773883
Guatemala,2010,4700.246306999999,10619.5019,442.60515712135236
Pakistan,1990,1503.0576303259998,3401.0774499999998,441.9357254936961
Haiti,2020,1353.512375,3092.134975,437.7274556069468
Sri Lanka,2000,3221.26479,7480.119100000001,430.64351609053926
Mali,2000,875.2159700000001,2040.41002,428.9412232939339
Grenada,2000,5484.9297,13014.5196,421.4469583648712
Mauritania,1990,2176.3366592999996,5393.24394,403.53017284436044
Mongolia,2020,6153.57529,15281.723,402.67548953740356
Kenya,2020,2168.14568,5392.7343,402.0494167494957
Libya,2020,4645.495,11637.942,399.16808315422094
Senegal,2010,1442.99595,3628.51935,397.68175688521546
Sri Lanka,2010,5077.64821,12820.932499999999,396.0435958928885
Haiti,2000,1262.941997,3224.70975,391.645169615653
North Macedonia,2000,5330.092407526,13624.9103,391.2020182273053
Nicaragua,2020,2767.8633,7083.4836749999995,390.7488782346915
Cameroon,2020,1841.3648,4817.81485,382.1991623443147
Namibia,1990,2898.545,7597.52071,381.5119577344331
Nepal,2000,978.96367097,2584.06522,378.84634775975195
Sudan,2010,1553.2311859570002,4100.83379,378.75984872749507
Thailand,2010,7109.6614517,18836.1722,377.44725288187794
Nigeria,2020,2027.73959393,5512.072,367.87247951949826
Sri Lanka,1990,1858.7057,5382.872,345.2999997027609
Thailand,1990,3699.2799,10814.653,342.06182112361813
Benin,2010,975.1218023,2951.87432,330.33987785089715
Bangladesh,2020,2480.54514,7646.707275,324.39389279485664
Togo,1990,658.2163,2050.28999,321.03570870967377
Saint Vincent and the Grenadines,2010,4563.5231,14379.3924,317.365502870622
Marshall Islands,1990,1274.4536,4063.8003000000003,313.6112766171113
Sudan,2000,1263.49214,4058.22399,311.3411539415793
Honduras,2000,1549.656188,5004.80599,309.6336183852753
Slovenia,2020,14196.694452,46189.770000000004,307.3558160605692
Thailand,2000,4295.209651,14012.5005,306.5269935940413
Peru,1990,2136.90306765,6993.89006,305.5385556990011
Paraguay,2010,4339.5499469999995,14209.18125,305.4046444090506
South Africa,2020,4112.039872054999,13611.4155,302.1022958306577
China,2010,4252.221390785859,14244.485999999999,298.5170114798006
Bhutan,1990,1258.469794,4224.9775500000005,297.86425587042464
Pakistan,2000,1141.242285516,3917.32788,291.3318263050271
Belize,1990,2795.36954,9763.4218,286.310434728939
Nicaragua,2010,1875.7198630000005,6590.9187999999995,284.59155998098487
Rwanda,1990,267.69025,941.3465,284.36951749435514
Tonga,2000,1645.77837,5792.61765,284.11652027473275
Zimbabwe,2020,908.8425637,3234.35705,280.99636176531595
Tuvalu,1990,917.97015,3314.7875200000003,276.93182276733074
Guatemala,2000,2456.78520436,9229.4004,266.19120396596946
Peru,2000,2406.8642682,9103.9035,264.3771727369474
El Salvador,2010,2396.2968047,9595.257000000001,249.73763649061192
South Africa,2000,3139.639729222,12721.9176,246.78981800841092
Iraq,2020,3162.893146,12916.031500000001,244.8811886220624
Tajikistan,1990,506.5574928,2073.79219,244.266274722541
Myanmar,2000,565.7700693,2335.28325,242.27042663882426
Jamaica,1990,2306.8824413,9574.9306,240.92941637613544
Congo,2020,1500.2739,6247.778324999999,240.12918224015257
Senegal,2000,749.6553531,3237.86275,231.52783517460708
Australia,1990,8791.2886117,38035.995299999995,231.13076290920674
Costa Rica,1990,2880.649434,12467.45335,231.05355625814315
Sierra Leone,1990,460.053803677,1999.20046,230.1188964697417
Guyana,2010,2678.506,12044.0185,222.39304929662802
Albania,2000,1953.0375945999997,8940.10659,218.45797641658766
Burundi,2010,194.7533562,922.690646,211.0711288168841
Mali,1990,339.06977800000004,1612.79835,210.23693259606821
Georgia,2000,1741.6582385,8296.63799,209.92337385326852
Angola,1990,1235.6117,5999.5067,205.95221603802858
Namibia,2020,2014.782909,9853.832,204.46694331707704
Bosnia and Herzegovina,2010,2923.980683,14385.887299999999,203.2534123216717
